MATCH_ID	SEASON	CITY	DATE	TEAM1	TEAM2	TOSS_WINNER	TOSS_DECISION	RESULT	WINNER
30	2017	Bangalore	2017-04-27	Royal Challengers Bangalore	Gujarat Lions	Gujarat Lions	field	normal	Gujarat Lions
31	2017	Kolkata	2017-04-28	Delhi Daredevils	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	Kolkata Knight Riders
32	2017	Chandigarh	2017-04-28	Sunrisers Hyderabad	Kings XI Punjab	Kings XI Punjab	field	normal	Sunrisers Hyderabad
33	2017	Pune	2017-04-29	Rising Pune Supergiant	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	Rising Pune Supergiant
34	2017	Rajkot	2017-04-29	Gujarat Lions	Mumbai Indians	Gujarat Lions	bat	tie	Mumbai Indians
35	2017	Chandigarh	2017-04-30	Delhi Daredevils	Kings XI Punjab	Kings XI Punjab	field	normal	Kings XI Punjab
36	2017	Hyderabad	2017-04-30	Sunrisers Hyderabad	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	Sunrisers Hyderabad
37	2017	Mumbai	2017-05-01	Royal Challengers Bangalore	Mumbai Indians	Royal Challengers Bangalore	bat	normal	Mumbai Indians
38	2017	Pune	2017-05-01	Gujarat Lions	Rising Pune Supergiant	Rising Pune Supergiant	field	normal	Rising Pune Supergiant
39	2017	Delhi	2017-05-02	Sunrisers Hyderabad	Delhi Daredevils	Delhi Daredevils	field	normal	Delhi Daredevils
40	2017	Kolkata	2017-05-03	Kolkata Knight Riders	Rising Pune Supergiant	Rising Pune Supergiant	field	normal	Rising Pune Supergiant
41	2017	Delhi	2017-05-04	Gujarat Lions	Delhi Daredevils	Delhi Daredevils	field	normal	Delhi Daredevils
42	2017	Bangalore	2017-05-05	Kings XI Punjab	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	Kings XI Punjab
43	2017	Hyderabad	2017-05-06	Rising Pune Supergiant	Sunrisers Hyderabad	Sunrisers Hyderabad	field	normal	Rising Pune Supergiant
44	2017	Delhi	2017-05-06	Mumbai Indians	Delhi Daredevils	Delhi Daredevils	field	normal	Mumbai Indians
45	2017	Bangalore	2017-05-07	Royal Challengers Bangalore	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	Kolkata Knight Riders
46	2017	Chandigarh	2017-05-07	Kings XI Punjab	Gujarat Lions	Gujarat Lions	field	normal	Gujarat Lions
47	2017	Hyderabad	2017-05-08	Mumbai Indians	Sunrisers Hyderabad	Mumbai Indians	bat	normal	Sunrisers Hyderabad
48	2017	Chandigarh	2017-05-09	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	Kings XI Punjab
49	2017	Kanpur	2017-05-10	Gujarat Lions	Delhi Daredevils	Delhi Daredevils	field	normal	Delhi Daredevils
