MATCH_ID	SEASON	CITY	DATE	TEAM1	TEAM2	TOSS_WINNER	TOSS_DECISION	RESULT	WINNER
50	2017	Mumbai	2017-05-11	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	Kings XI Punjab
51	2017	Delhi	2017-05-12	Delhi Daredevils	Rising Pune Supergiant	Delhi Daredevils	bat	normal	Delhi Daredevils
52	2017	Kanpur	2017-05-13	Gujarat Lions	Sunrisers Hyderabad	Sunrisers Hyderabad	field	normal	Sunrisers Hyderabad
53	2017	Kolkata	2017-05-13	Mumbai Indians	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	Mumbai Indians
54	2017	Pune	2017-05-14	Kings XI Punjab	Rising Pune Supergiant	Rising Pune Supergiant	field	normal	Rising Pune Supergiant
55	2017	Delhi	2017-05-14	Royal Challengers Bangalore	Delhi Daredevils	Royal Challengers Bangalore	bat	normal	Royal Challengers Bangalore
56	2017	Mumbai	2017-05-16	Rising Pune Supergiant	Mumbai Indians	Mumbai Indians	field	normal	Rising Pune Supergiant
57	2017	Bangalore	2017-05-17	Sunrisers Hyderabad	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	Kolkata Knight Riders
58	2017	Bangalore	2017-05-19	Kolkata Knight Riders	Mumbai Indians	Mumbai Indians	field	normal	Mumbai Indians
59	2017	Hyderabad	2017-05-21	Mumbai Indians	Rising Pune Supergiant	Mumbai Indians	bat	normal	Mumbai Indians
60	2008	Bangalore	2008-04-18	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	Kolkata Knight Riders
61	2008	Chandigarh	2008-04-19	Chennai Super Kings	Kings XI Punjab	Chennai Super Kings	bat	normal	Chennai Super Kings
62	2008	Delhi	2008-04-19	Rajasthan Royals	Delhi Daredevils	Rajasthan Royals	bat	normal	Delhi Daredevils
63	2008	Mumbai	2008-04-20	Mumbai Indians	Royal Challengers Bangalore	Mumbai Indians	bat	normal	Royal Challengers Bangalore
64	2008	Kolkata	2008-04-20	Deccan Chargers	Kolkata Knight Riders	Deccan Chargers	bat	normal	Kolkata Knight Riders
65	2008	Jaipur	2008-04-21	Kings XI Punjab	Rajasthan Royals	Kings XI Punjab	bat	normal	Rajasthan Royals
66	2008	Hyderabad	2008-04-22	Deccan Chargers	Delhi Daredevils	Deccan Chargers	bat	normal	Delhi Daredevils
67	2008	Chennai	2008-04-23	Chennai Super Kings	Mumbai Indians	Mumbai Indians	field	normal	Chennai Super Kings
68	2008	Hyderabad	2008-04-24	Deccan Chargers	Rajasthan Royals	Rajasthan Royals	field	normal	Rajasthan Royals
69	2008	Chandigarh	2008-04-25	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	Kings XI Punjab
70	2008	Bangalore	2008-04-26	Royal Challengers Bangalore	Rajasthan Royals	Rajasthan Royals	field	normal	Rajasthan Royals
71	2008	Chennai	2008-04-26	Kolkata Knight Riders	Chennai Super Kings	Kolkata Knight Riders	bat	normal	Chennai Super Kings
72	2008	Mumbai	2008-04-27	Mumbai Indians	Deccan Chargers	Deccan Chargers	field	normal	Deccan Chargers
73	2008	Chandigarh	2008-04-27	Delhi Daredevils	Kings XI Punjab	Delhi Daredevils	bat	normal	Kings XI Punjab
74	2008	Bangalore	2008-04-28	Chennai Super Kings	Royal Challengers Bangalore	Chennai Super Kings	bat	normal	Chennai Super Kings
